Main Type,Sub Type,Components
Asset Tokenization,Public Equities,ERC-1400/3643 security tokens; corporate actions mapping; KYC/AML whitelists; transfer restrictions; oracle-based pricing; disclosure hooks
Asset Tokenization,Private Equity / Venture,Cap table on-chain; SAFE/convertible notes as tokens; lockups/vesting; data rooms access control; investor accreditation checks; secondary trading rules
Asset Tokenization,Debt: Corporate Bonds,Coupon schedule smart contracts; DvP settlement; interest accrual math; ISIN/CFI mapping; trustee role; default/acceleration events
Asset Tokenization,Debt: Sovereign Bonds,Auction/primary issuance; primary dealer roles; T+0/T+1 settlement rails; withholding/tax logic; interest calendars; buyback/redemption flows
Asset Tokenization,Money Market Instruments,T-bills/commercial paper as tokens; rolling maturities; yield accrual; whitelist-only transfers; NAV/oracle; redemption windows
Asset Tokenization,Funds (ETF/Mutual),Share registry on-chain; creation/redemption baskets; NAV calculation; swing pricing; authorized participant workflows; disclosure scheduling
Asset Tokenization,Real Estate (Equity),SPV shares as tokens; rent/dividend distribution; property registry linkage; appraisal oracle; maintenance reserve; right of first refusal
Asset Tokenization,Real Estate (Debt),Mortgage tokens; amortization schedule; lien priority; foreclosure workflow; escrow agents; servicing rights as NFTs
Asset Tokenization,Commodities,Warehouse receipts; bar serials; assay/origin proofs; custody chain-of-custody; delivery/retirement; storage/insurance fees accrual
Asset Tokenization,FX & Currency Baskets,Tokenized fiat claims; PvP settlement; FX oracle; basket rebalancing; liquidity provider program; reporting hooks
Asset Tokenization,Carbon & Environmental Credits,Vintage/project metadata; double-spend prevention; retirement registry sync; bridging between standards; pricing oracle; MRV attestations
Asset Tokenization,Intellectual Property / Royalties,IP-NFTs; royalty split contracts; usage reporting oracles; audit rights; buyout options; time-bound licenses
Asset Tokenization,Art & Collectibles,Provenance registry; fractionalization; physical/digital custody bridge; appraisal events; redemption & shipping logistics
Asset Tokenization,Derivatives (Options/Futures),Margining; collateral tokens; expiry/settlement logic; price oracles; auto-deleveraging; clearing member roles
Asset Tokenization,Structured Products,Payoff formulas; tranche seniority; waterfall distribution; eligibility checks; early call/put rules; scenario disclosure
Asset Tokenization,Revenue Share / Cash Flow Tokens,Revenue oracle; distribution periods; clawback; audit proofs; payment routing; rights revocation
Asset Tokenization,Loyalty/Points & Real-World Credits,Issuance caps; earn/burn rules; merchant settlement; fraud prevention; interchange fees; compliance per region
Asset Tokenization,Gaming & In‑App Assets,Mint/burn policies; marketplace royalty; anti-bot/anti-fraud; parental/age gating; regional compliance
Asset Tokenization,CBDC Readiness (Interface),Wholesale/retail CBDC adapter; KYC tiers; transaction limits; offline mode hooks; AML event streaming; reporting
Issuance & Lifecycle,Primary Issuance,Bookbuilding; subscription smart contracts; investor KYC; payment rails; allocation engine; cap table minting
Issuance & Lifecycle,Secondary Trading Enablement,Transfer restrictions; whitelist registries; broker/dealer roles; RWA marketplace adapters; trading windows; disclosure gating
Issuance & Lifecycle,Corporate Actions,Dividends/coupons; splits; proxy/voting; tender offers; conversions; airdrop equivalents with eligibility proofs
Issuance & Lifecycle,Redemption & Buybacks,NAV-based redemptions; liquidity gates; fees/penalties; settlement flows; tax/withholding; burn/treasury mechanics
Issuance & Lifecycle,Compliance & Reporting,Rule 144/Reg S clocks; suitability; beneficial ownership; transaction reporting; audit trails; FATCA/CRS data paths
Market Infrastructure,Standards & Protocols,ERC‑20/721/1155; ERC‑1400/3643 (security tokens); ERC‑4626 (vaults); ERC‑1271 (contract signatures); ISO 20022 mapping
Market Infrastructure,Settlement (DvP/PvP),Atomic swap rails; HTLC/hashed-time-locks; RTGS connectors; netting; T+0/T+1 modes; fail/repair workflows
